Movie_Title,Release_Date,Wikipedia_URL,Genre,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Revenue
Sinister 2,8/21/15,https://en.wikipedia.org/wiki/Sinister_2,Terror,Ciaran Foy,,James Ransone,Shannyn Sossamon,,,,"$10,000,000.00 ","$52,900,000.00 "
Sisters,12/18/15,https://en.wikipedia.org/wiki/Sisters_(2015_film),Comédia,Jason Moore,,Amy Poehler,Tina Fey,John Cena,Maya Rudolph,,"$30,000,000.00 ","$105,000,000.00 "
Snitch,2/22/13,https://en.wikipedia.org/wiki/Snitch_(film),Ação,Ric Roman Waugh,,Dwayne Johnson,Susan Sarandon,Benjamin Bratt,Barry Pepper,,"$15,000,000.00 ","$57,800,000.00 "
Snow White and the Huntsman,6/1/12,https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman,Ação,Rupert Sanders,,Charlize Theron,Kristen Stewart,Chris Hemsworth,Sam Spruell,Ian McShane,"$170,000,000.00 ","$396,600,000.00 "
Son of God,2/28/14,https://en.wikipedia.org/wiki/Son_of_God_(film),Drama,Christopher Spencer,,Diogo Morgado,Roma Downey,Darwin Shaw,,,"$22,000,000.00 ","$67,800,000.00 "
Son of Saul,5/15/15,https://en.wikipedia.org/wiki/Son_of_Saul,Drama,László Nemes,,Géza Röhrig,,,,,"$1,500,000.00 ","$6,200,000.00 "
Southpaw,6/15/15,https://en.wikipedia.org/wiki/Southpaw_(film),Drama,Antoine Fuqua,,Jake Gyllenhaal,Rachel McAdams,Naomie Harris,Forest Whitaker,Victor Ortiz,"$30,000,000.00 ","$92,000,000.00 "
Spotlight,9/3/15,https://en.wikipedia.org/wiki/Spotlight_(film),Drama,Tom McCarthy,,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,"$20,000,000.00 ","$88,300,000.00 "
Spy,5/15/15,https://en.wikipedia.org/wiki/Spy_(2015_film),Ação,Paul Feig,,Melissa McCarthy,Jason Statham,Rose Byrne,Miranda Hart,Bobby Cannavale,"$65,000,000.00 ","$235,700,000.00 "
St. Vincent,9/5/14,https://en.wikipedia.org/wiki/St._Vincent_(film),Comédia,Theodore Melfi,,Bill Murray,Melissa McCarthy,Naomi Watts,Chris O'Dowd,Kimberly Quinn,"$13,000,000.00 ","$54,800,000.00 "
Stand by Me Doraemon,8/8/14,https://en.wikipedia.org/wiki/Stand_by_Me_Doraemon,Animação,Takashi Yamazaki,Ryuichi Yagi,Wasabi Mizuta,Megumi Ohara,Yumi Kakazu,Tomokazu Seki,Subaru Kimura,"$35,000,000.00 ","$196,400,000.00 "
Star Trek Beyond,7/22/16,https://en.wikipedia.org/wiki/Star_Trek_Beyond,Ação,Justin Lin,,Chris Pine,Zachary Quinto,Zoe Saldana,Karl Urban,John Cho,"$185,000,000.00 ","$243,000,000.00 "
Step Up: All In,8/8/14,https://en.wikipedia.org/wiki/Step_Up:_All_In,Drama,Trish Sie,,Ryan Guzman,Briana Evigan,Alyson Stoner,Adam Sevani,Mari Koda,"$45,000,000.00 ","$86,200,000.00 "
Steve Jobs,9/5/15,https://en.wikipedia.org/wiki/Steve_Jobs_(2015_film),Biografia,Danny Boyle,,Michael Fassbender,Seth Rogen,Kate Winslet,Jeff Daniels,Katherine Waterston,"$30,000,000.00 ","$34,400,000.00 "
Straight Outta Compton,8/11/15,https://en.wikipedia.org/wiki/Straight_Outta_Compton_(2015_film),Biografia,F. Gary Gray,,O'Shea Jackson,Jr.,Corey Hawkins,Jason Mitchell,Aldis Hodge,"$50,000,000.00 ","$201,600,000.00 "
Suffragette,9/4/15,https://en.wikipedia.org/wiki/Suffragette_(film),Drama,Sarah Gavron,,Carey Mulligan,Helena Bonham Carter,Meryl Streep,Ben Whishaw,Brendan Gleeson,"$14,000,000.00 ","$32,000,000.00 "
Suicide Squad,8/5/16,https://en.wikipedia.org/wiki/Suicide_Squad_(film),Ação,David Ayer,,Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman,Viola Davis,"$175,000,000.00 ","$636,700,000.00 "
Taken 2,10/5/12,https://en.wikipedia.org/wiki/Taken_2,Ação,Olivier Megaton,,Liam Neeson,Famke Janssen,Maggie Grace,Rade Sherbedgia,Luke Grimes,"$43,000,000.00 ","$376,100,000.00 "
Tammy,7/2/14,https://en.wikipedia.org/wiki/Tammy_(film),Comédia,Ben Falcone,,Melissa McCarthy,Susan Sarandon,Allison Janney,Toni Collette,Sandra Oh,"$20,000,000.00 ","$100,500,000.00 "
Ted,6/29/12,https://en.wikipedia.org/wiki/Ted_(film),Comédia,Seth MacFarlane,,Mark Wahlberg,Mila Kunis,Seth MacFarlane,Giovanni Ribisi,Joel McHale,"$51,000,000.00 ","$549,400,000.00 "
Ted 2,6/24/15,https://en.wikipedia.org/wiki/Ted_2,Comédia,Seth MacFarlane,,Alec Sulkin,Wellesley Wild(screenplay) Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Giovanni Ribisi,"$68,000,000.00 ","$216,700,000.00 "
